ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
LAD1	ladinin 1(LAD1)	Homo sapiens				GO:0098609~cell-cell adhesion,	GO:0005604~basement membrane,GO:0005913~cell-cell adherens junction,GO:0070062~extracellular exosome,	GO:0005198~structural molecule activity,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR017404:Ladinin 1,			PIRSF038144:ladinin 1,		Basement membrane,Complete proteome,Extracellular matrix,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,	chain:Ladinin-1,compositionally biased region:Poly-Arg,modified residue,region of interest:8 X SEK repeats,repeat:SEK 1,repeat:SEK 2,repeat:SEK 3,repeat:SEK 4,repeat:SEK 5,repeat:SEK 6,repeat:SEK 7,repeat:SEK 8,sequence variant,
LMNA	lamin A/C(LMNA)	Homo sapiens		h_caspasePathway:Caspase Cascade in Apoptosis,h_deathPathway:Induction of apoptosis through DR3 and DR4/5 Death Receptors ,h_fasPathway:FAS signaling pathway ( CD95 ),h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_tnfr1Pathway:TNFR1 Signaling Pathway,		GO:0007077~mitotic nuclear envelope disassembly,GO:0007084~mitotic nuclear envelope reassembly,GO:0007517~muscle organ development,GO:0030334~regulation of cell migration,GO:0030951~establishment or maintenance of microtubule cytoskeleton polarity,GO:0034504~protein localization to nucleus,GO:0035105~sterol regulatory element binding protein import into nucleus,GO:0036498~IRE1-mediated unfolded protein response,GO:0055015~ventricular cardiac muscle cell development,GO:0071456~cellular response to hypoxia,GO:0072201~negative regulation of mesenchymal cell proliferation,GO:0090201~negative regulation of release of cytochrome c from mitochondria,GO:0090343~positive regulation of cell aging,GO:1900180~regulation of protein localization to nucleus,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,	GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005638~lamin filament,GO:0005652~nuclear lamina,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005882~intermediate filament,GO:0016607~nuclear speck,GO:0031012~extracellular matrix,GO:0031965~nuclear membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0005198~structural molecule activity,GO:0005515~protein binding,	IPR001322:Lamin Tail Domain,IPR001664:Intermediate filament protein,IPR018039:Intermediate filament protein, conserved site,	hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),hsa05414:Dilated cardiomyopathy,	115200~Cardiomyopathy, dilated, 1A,151660~Lipodystrophy, familial partial, 2,159001~Muscular dystrophy, limb-girdle, type 1B,176670~Hutchinson-Gilford progeria,181350~Emery-Dreifuss muscular dystrophy 2, AD,212112~Malouf syndrome,248370~Mandibuloacral dysplasia,275210~Restrictive dermopathy, lethal,605588~Charcot-Marie-Tooth disease, type 2B1,610140~Heart-hand syndrome, Slovenian type,613205~Muscular dystrophy, congenital,616516~Emery-Dreifuss muscular dystrophy 3, AR,		SM01391:SM01391,	3D-structure,Acetylation,Alternative splicing,Cardiomyopathy,Charcot-Marie-Tooth disease,Coiled coil,Complete proteome,Congenital muscular dystrophy,Direct protein sequencing,Disease mutation,Emery-Dreifuss muscular dystrophy,Intermediate filament,Isopeptide bond,Limb-girdle muscular dystrophy,Lipoprotein,Methylation,Neurodegeneration,Neuropathy,Nucleus,Phosphoprotein,Polymorphism,Prenylation,Proteomics identification,Reference proteome,Ubl conjugation,	chain:Lamin-A/C,helix,lipid moiety-binding region:S-farnesyl cysteine,modified residue,mutagenesis site,region of interest:Coil 1A,region of interest:Coil 1B,region of interest:Coil 2,region of interest:Head,region of interest:Linker 1,region of interest:Linker 2,region of interest:Rod,region of interest:Tail,sequence variant,short sequence motif:Nuclear localization signal,site:Heptad change of phase,site:Stutter,splice variant,strand,turn,
LBR	lamin B receptor(LBR)	Homo sapiens				GO:0006695~cholesterol biosynthetic process,GO:0016126~sterol biosynthetic process,GO:0055114~oxidation-reduction process,	GO:0005635~nuclear envelope,GO:0005639~integral component of nuclear inner membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0031965~nuclear membrane,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0005521~lamin binding,GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors,GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,GO:0044822~poly(A) RNA binding,GO:0050613~delta14-sterol reductase activity,GO:0070087~chromo shadow domain binding,	IPR001171:Ergosterol biosynthesis ERG4/ERG24,IPR002999:Tudor domain,IPR018083:Sterol reductase, conserved site,IPR019023:Lamin-B receptor of TUDOR domain,		169400~Pelger-Huet anomaly,215140~Greenberg skeletal dysplasia,613471~Reynolds syndrome,		SM00333:TUDOR,	3D-structure,Acetylation,Complete proteome,Disease mutation,DNA-binding,Membrane,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Receptor,Reference proteome,Transmembrane,Transmembrane helix,	chain:Lamin-B receptor,modified residue,region of interest:Nucleoplasmic,sequence conflict,sequence variant,strand,transmembrane region,turn,
LAMB2	laminin subunit beta 2(LAMB2)	Homo sapiens			Cell division and chromosome partitioning,	GO:0007155~cell adhesion,GO:0007411~axon guidance,GO:0007528~neuromuscular junction development,GO:0007601~visual perception,GO:0014002~astrocyte development,GO:0014044~Schwann cell development,GO:0030198~extracellular matrix organization,GO:0048677~axon extension involved in regeneration,GO:0060041~retina development in camera-type eye,GO:0072249~metanephric glomerular visceral epithelial cell development,GO:0072274~metanephric glomerular basement membrane development,	GO:0005576~extracellular region,GO:0005604~basement membrane,GO:0005605~basal lamina,GO:0005608~laminin-3 complex,GO:0031012~extracellular matrix,GO:0043260~laminin-11 complex,GO:0045202~synapse,GO:0070062~extracellular exosome,	GO:0005178~integrin binding,GO:0005198~structural molecule activity,	IPR000742:Epidermal growth factor-like domain,IPR002049:EGF-like, laminin,IPR008211:Laminin, N-terminal,IPR013015:Laminin IV,IPR013032:EGF-like, conserved site,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,	609049~Pierson syndrome,614199~Nephrotic syndrome, type 5, with or without ocular abnormalities,		SM00136:LamNT,SM00180:EGF_Lam,SM00181:EGF,	Basement membrane,Cell adhesion,Coiled coil,Complete proteome,Disease mutation,Disulfide bond,Extracellular matrix,Glycoprotein,Laminin EGF-like domain,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Laminin subunit beta-2,disulfide bond,domain:Laminin EGF-like 1,domain:Laminin EGF-like 10,domain:Laminin EGF-like 11,domain:Laminin EGF-like 12,domain:Laminin EGF-like 13,domain:Laminin EGF-like 2,domain:Laminin EGF-like 3,domain:Laminin EGF-like 4,domain:Laminin EGF-like 5; truncated,domain:Laminin EGF-like 6,domain:Laminin EGF-like 7,domain:Laminin EGF-like 8,domain:Laminin EGF-like 9,domain:Laminin IV type B,domain:Laminin N-terminal,glycosylation site:N-linked (GlcNAc...),region of interest:Domain alpha,region of interest:Domain I,region of interest:Domain II,sequence conflict,sequence variant,signal peptide,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens				GO:0007155~cell adhesion,GO:0008544~epidermis development,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0031581~hemidesmosome assembly,GO:0035987~endodermal cell differentiation,GO:0050873~brown fat cell differentiation,	GO:0005576~extracellular region,GO:0005610~laminin-5 complex,	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0032403~protein complex binding,	IPR002049:EGF-like, laminin,IPR008211:Laminin, N-terminal,IPR008979:Galactose-binding domain-like,IPR013032:EGF-like, conserved site,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,	104530~Amelogenesis imperfecta, type IA,226650~Epidermolysis bullosa, junctional, non-Herlitz type,226700~Epidermolysis bullosa, junctional, Herlitz type,		SM00136:LamNT,SM00180:EGF_Lam,	Amelogenesis imperfecta,Basement membrane,Cell adhesion,Coiled coil,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Epidermolysis bullosa,Extracellular matrix,Glycoprotein,Laminin EGF-like domain,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Laminin subunit beta-3,disulfide bond,domain:Laminin EGF-like 1,domain:Laminin EGF-like 2,domain:Laminin EGF-like 3,domain:Laminin EGF-like 4,domain:Laminin EGF-like 5,domain:Laminin EGF-like 6,domain:Laminin N-terminal,glycosylation site:N-linked (GlcNAc...),region of interest:Domain alpha,region of interest:Domain I,region of interest:Domain II,sequence conflict,sequence variant,signal peptide,
LAMC1	laminin subunit gamma 1(LAMC1)	Homo sapiens		h_prionPathway:Prion Pathway,	DNA replication, recombination, and repair,	GO:0006461~protein complex assembly,GO:0007155~cell adhesion,GO:0007492~endoderm development,GO:0016477~cell migration,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0031581~hemidesmosome assembly,GO:0034446~substrate adhesion-dependent cell spreading,GO:0050679~positive regulation of epithelial cell proliferation,	GO:0005576~extracellular region,GO:0005604~basement membrane,GO:0005606~laminin-1 complex,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0043259~laminin-10 complex,GO:0043260~laminin-11 complex,GO:0070062~extracellular exosome,	GO:0005201~extracellular matrix structural constituent,	IPR000034:Laminin B type IV,IPR000742:Epidermal growth factor-like domain,IPR002049:EGF-like, laminin,IPR008211:Laminin, N-terminal,IPR008979:Galactose-binding domain-like,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05020:Prion diseases,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,			SM00136:LamNT,SM00180:EGF_Lam,SM00181:EGF,SM00281:LamB,	Basement membrane,Cell adhesion,Coiled coil,Complete proteome,Disulfide bond,Extracellular matrix,Glycoprotein,Laminin EGF-like domain,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Laminin subunit gamma-1,disulfide bond,domain:Laminin EGF-like 1,domain:Laminin EGF-like 10,domain:Laminin EGF-like 11,domain:Laminin EGF-like 2,domain:Laminin EGF-like 3,domain:Laminin EGF-like 4,domain:Laminin EGF-like 5; first part,domain:Laminin EGF-like 5; second part,domain:Laminin EGF-like 6,domain:Laminin EGF-like 7,domain:Laminin EGF-like 8,domain:Laminin EGF-like 9,domain:Laminin IV type A,domain:Laminin N-terminal,glycosylation site:N-linked (GlcNAc...),region of interest:Domain II and I,sequence conflict,sequence variant,signal peptide,
LAMC2	laminin subunit gamma 2(LAMC2)	Homo sapiens			Cell division and chromosome partitioning,Cell motility and secretion / Signal transduction mechanisms,	GO:0007155~cell adhesion,GO:0008284~positive regulation of cell proliferation,GO:0008544~epidermis development,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0030335~positive regulation of cell migration,GO:0031581~hemidesmosome assembly,	GO:0005576~extracellular region,GO:0005607~laminin-2 complex,GO:0005615~extracellular space,GO:0005938~cell cortex,GO:0016020~membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0008201~heparin binding,	IPR000034:Laminin B type IV,IPR000742:Epidermal growth factor-like domain,IPR002049:EGF-like, laminin,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,	226650~Epidermolysis bullosa, junctional, non-Herlitz type,226700~Epidermolysis bullosa, junctional, Herlitz type,		SM00180:EGF_Lam,SM00181:EGF,SM00281:LamB,	Alternative splicing,Basement membrane,Cell adhesion,Coiled coil,Complete proteome,Direct protein sequencing,Disulfide bond,Epidermolysis bullosa,Extracellular matrix,Glycoprotein,Heparin-binding,Laminin EGF-like domain,Polymorphism,Reference proteome,Repeat,Secreted,Signal,	chain:Laminin subunit gamma-2,disulfide bond,domain:Laminin EGF-like 1,domain:Laminin EGF-like 2,domain:Laminin EGF-like 3,domain:Laminin EGF-like 4; first part,domain:Laminin EGF-like 4; second part,domain:Laminin EGF-like 5,domain:Laminin EGF-like 6,domain:Laminin EGF-like 7,domain:Laminin EGF-like 8; truncated,domain:Laminin IV type A,glycosylation site:N-linked (GlcNAc...),modified residue,region of interest:Domain II and I,sequence conflict,sequence variant,signal peptide,splice variant,
LELP1	late cornified envelope like proline rich 1(LELP1)	Homo sapiens				GO:0018149~peptide cross-linking,GO:0030216~keratinocyte differentiation,	GO:0001533~cornified envelope,GO:0005737~cytoplasm,	GO:0005198~structural molecule activity,	IPR026075:Small proline-rich protein/late cornified envelope protein,IPR026076:Late cornified envelope-like proline-rich protein 1,					Complete proteome,Reference proteome,	chain:Late cornified envelope-like proline-rich protein 1,compositionally biased region:Cys/Pro-rich,
LTBP1	latent transforming growth factor beta binding protein 1(LTBP1)	Homo sapiens				GO:0003281~ventricular septum development,GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway,GO:0035583~sequestering of TGFbeta in extracellular matrix,GO:0035904~aorta development,GO:0060976~coronary vasculature development,	GO:0001527~microfibril,GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0031012~extracellular matrix,GO:0043234~protein complex,	GO:0005024~transforming growth factor beta-activated receptor activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0050431~transforming growth factor beta binding,GO:0050436~microfibril binding,	IPR000152:EGF-type aspartate/asparagine hydroxylation site,IPR000742:Epidermal growth factor-like domain,IPR001881:EGF-like calcium-binding,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR013032:EGF-like, conserved site,IPR017878:TB domain,IPR018097:EGF-like calcium-binding, conserved site,IPR026823:Complement Clr-like EGF domain,	hsa04350:TGF-beta signaling pathway,			SM00179:EGF_CA,SM00181:EGF,	3D-structure,Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,EGF-like domain,Glycoprotein,Growth factor binding,Hydroxylation,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Latent-transforming growth factor beta- binding protein 1,compositionally biased region:Pro-rich,disulfide bond,domain:EGF-like 1,domain:EGF-like 10; calcium-binding,domain:EGF-like 11; calcium-binding,domain:EGF-like 12; calcium-binding,domain:EGF-like 13; calcium-binding,domain:EGF-like 14; calcium-binding,domain:EGF-like 15; calcium-binding,domain:EGF-like 16; calcium-binding,domain:EGF-like 17,domain:EGF-like 18; calcium-binding,domain:EGF-like 2,domain:EGF-like 3; calcium-binding,domain:EGF-like 4; calcium-binding,domain:EGF-like 5; calcium-binding,domain:EGF-like 6; calcium-binding,domain:EGF-like 7; calcium-binding,domain:EGF-like 8; calcium-binding,domain:EGF-like 9; calcium-binding,domain:TB 1,domain:TB 2,domain:TB 3,domain:TB 4,glycosylation site:N-linked (GlcNAc...),helix,modified residue,mutagenesis site,sequence conflict,short sequence motif:Cell attachment site,signal peptide,splice variant,strand,turn,
LMAN2L	lectin, mannose binding 2 like(LMAN2L)	Homo sapiens				GO:0006457~protein folding,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007029~endoplasmic reticulum organization,GO:0007030~Golgi organization,GO:0015031~protein transport,	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005793~endoplasmic reticulum-Golgi intermediate compartment,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030134~ER to Golgi transport vesicle,	GO:0005537~mannose binding,GO:0046872~metal ion binding,	IPR005052:Legume-like lectin,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,					Alternative splicing,Complete proteome,Disease mutation,Disulfide bond,Endoplasmic reticulum,Glycoprotein,Golgi apparatus,Lectin,Membrane,Mental retardation,Metal-binding,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:VIP36-like protein,disulfide bond,domain:L-type lectin-like,glycosylation site:N-linked (GlcNAc...) (high mannose),mutagenesis site,sequence conflict,short sequence motif:Endoplasmic reticular retention signal,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
LEFTY2	left-right determination factor 2(LEFTY2)	Homo sapiens				GO:0002576~platelet degranulation,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007275~multicellular organism development,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0016049~cell growth,GO:0042981~regulation of apoptotic process,GO:0043408~regulation of MAPK cascade,GO:0048468~cell development,GO:0060395~SMAD protein signal transduction,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031012~extracellular matrix,GO:0031093~platelet alpha granule lumen,	GO:0005125~cytokine activity,GO:0005160~transforming growth factor beta receptor binding,GO:0008083~growth factor activity,	IPR001111:Transforming growth factor-beta, N-terminal,IPR001839:Transforming growth factor-beta, C-terminal,IPR003942:Left- Right determination factor,IPR015615:Transforming growth factor-beta-related,IPR017948:Transforming growth factor beta, conserved site,	hsa04350:TGF-beta signaling pathway,	Left-right axis malformations~Left-right axis malformations,	PIRSF037402:lefty protein [Parent=PIRSF800009],	SM00204:TGFB,	Alternative splicing,Complete proteome,Cytokine,Developmental protein,Disease mutation,Disulfide bond,Glycoprotein,Growth factor,Heterotaxy,Polymorphism,Reference proteome,Secreted,Signal,	chain:Left-right determination factor 2,disulfide bond,glycosylation site:N-linked (GlcNAc...),propeptide:Or 135,sequence conflict,sequence variant,signal peptide,
LMOD1	leiomodin 1(LMOD1)	Homo sapiens				GO:0006936~muscle contraction,GO:0007015~actin filament organization,GO:0030239~myofibril assembly,GO:0030838~positive regulation of actin filament polymerization,GO:0045010~actin nucleation,GO:0051694~pointed-end actin filament capping,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005865~striated muscle thin filament,GO:0005884~actin filament,GO:0016020~membrane,GO:0030016~myofibril,GO:0030017~sarcomere,	GO:0003779~actin binding,GO:0005523~tropomyosin binding,	IPR003124:WH2 domain,IPR004934:Tropomodulin,				SM00246:WH2,	3D-structure,Actin-binding,Alternative splicing,Complete proteome,Cytoplasm,Cytoskeleton,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Leiomodin-1,domain:WH2,region of interest:5 X 4 AA approximate tandem repeats,region of interest:8 X approximate tandem repeats,repeat:1,repeat:2,repeat:3,repeat:4,repeat:5,repeat:6,repeat:7,repeat:8,sequence conflict,sequence variant,splice variant,
LMOD3	leiomodin 3(LMOD3)	Homo sapiens				GO:0006936~muscle contraction,GO:0007015~actin filament organization,GO:0030239~myofibril assembly,GO:0051694~pointed-end actin filament capping,	GO:0005865~striated muscle thin filament,GO:0031430~M band,	GO:0003785~actin monomer binding,GO:0005523~tropomyosin binding,	IPR004934:Tropomodulin,		616165~Nemaline myopathy 10,			Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,Nemaline myopathy,Polymorphism,Reference proteome,	chain:Leiomodin-3,compositionally biased region:Glu-rich,compositionally biased region:Poly-Pro,domain:WH2,sequence conflict,sequence variant,splice variant,
LEPROT	leptin receptor overlapping transcript(LEPROT)	Homo sapiens				GO:0032511~late endosome to vacuole transport via multivesicular body sorting pathway,GO:0046426~negative regulation of JAK-STAT cascade,GO:0060400~negative regulation of growth hormone receptor signaling pathway,GO:1903955~positive regulation of protein targeting to mitochondrion,GO:2000009~negative regulation of protein localization to cell surface,	GO:0000139~Golgi membrane,GO:0005768~endosome,GO:0005794~Golgi apparatus,GO:0010008~endosome membrane,GO:0016021~integral component of membrane,	GO:0005102~receptor binding,	IPR007262:Vacuolar protein sorting 55,					Complete proteome,Endosome,Golgi apparatus,Membrane,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Leptin receptor gene-related protein,transmembrane region,
LEPR	leptin receptor(LEPR)	Homo sapiens		h_leptinPathway:Reversal of Insulin Resistance by Leptin,		GO:0001525~angiogenesis,GO:0006112~energy reserve metabolic process,GO:0006909~phagocytosis,GO:0007166~cell surface receptor signaling pathway,GO:0007275~multicellular organism development,GO:0008203~cholesterol metabolic process,GO:0010507~negative regulation of autophagy,GO:0019953~sexual reproduction,GO:0030217~T cell differentiation,GO:0033210~leptin-mediated signaling pathway,GO:0042593~glucose homeostasis,GO:0044321~response to leptin,GO:0045721~negative regulation of gluconeogenesis,GO:0046850~regulation of bone remodeling,GO:0051346~negative regulation of hydrolase activity,GO:0060259~regulation of feeding behavior,GO:0097009~energy homeostasis,GO:0098868~bone growth,GO:2000505~regulation of energy homeostasis,	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0043235~receptor complex,	GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,GO:0038021~leptin receptor activity,	IPR003529:Long hematopoietin receptor, Gp130 family 2, conserved site,IPR003531:Short hematopoietin receptor, family 1, conserved site,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR010457:Immunoglobulin C2-set-like, ligand-binding,IPR013783:Immunoglobulin-like fold,IPR015752:Leptin receptor,	hsa04060:Cytokine-cytokine receptor interaction,hsa04080:Neuroactive ligand-receptor interaction,hsa04152:AMPK signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),	614963~Obesity, morbid, due to leptin receptor deficiency,		SM00060:FN3,	3D-structure,Alternative splicing,Cell membrane,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Immunoglobulin domain,Membrane,Obesity,Phosphoprotein,Polymorphism,Receptor,Reference proteome,Repeat,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:Leptin receptor,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Ig-like,glycosylation site:N-linked (GlcNAc...),modified residue,mutagenesis site,region of interest:Required for JAK2 activation,sequence conflict,sequence variant,short sequence motif:Box 1 motif,short sequence motif:WSXWS motif,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LURAP1	leucine rich adaptor protein 1(LURAP1)	Homo sapiens				GO:0001819~positive regulation of cytokine production,GO:0016477~cell migration,GO:0031032~actomyosin structure organization,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,	GO:0005737~cytoplasm,GO:0042641~actomyosin,	GO:0005515~protein binding,						Complete proteome,Cytoplasm,Leucine-rich repeat,Phosphoprotein,Reference proteome,Repeat,	chain:Uncharacterized protein C1orf190,modified residue,
LRPPRC	leucine rich pentatricopeptide repeat containing(LRPPRC)	Homo sapiens				GO:0000961~negative regulation of mitochondrial RNA catabolic process,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0047497~mitochondrion transport along microtubule,GO:0051028~mRNA transport,GO:0070129~regulation of mitochondrial translation,	GO:0000794~condensed nuclear chromosome,GO:0005634~nucleus,GO:0005637~nuclear inner membrane,GO:0005640~nuclear outer membrane,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005856~cytoskeleton,GO:0005874~microtubule,GO:0016020~membrane,GO:0030529~intracellular ribonucleoprotein complex,GO:0042645~mitochondrial nucleoid,GO:0048471~perinuclear region of cytoplasm,	GO:0003697~single-stranded DNA binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0008017~microtubule binding,GO:0031625~ubiquitin protein ligase binding,GO:0044822~poly(A) RNA binding,GO:0048487~beta-tubulin binding,GO:0051015~actin filament binding,	IPR002885:Pentatricopeptide repeat,IPR011990:Tetratricopeptide-like helical,		220111~Leigh syndrome, French-Canadian type,			Acetylation,Complete proteome,Direct protein sequencing,Disease mutation,DNA-binding,Leigh syndrome,Membrane,Mitochondrion,mRNA transport,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,RNA-binding,Transcription,Transcription regulation,Transit peptide,Transport,	chain:Leucine-rich PPR motif-containing protein, mitochondrial,modified residue,region of interest:RNA-binding,repeat:PPR 1,repeat:PPR 10,repeat:PPR 11,repeat:PPR 12,repeat:PPR 13,repeat:PPR 14,repeat:PPR 15,repeat:PPR 16,repeat:PPR 17,repeat:PPR 18,repeat:PPR 19,repeat:PPR 2,repeat:PPR 20,repeat:PPR 3,repeat:PPR 4,repeat:PPR 5,repeat:PPR 6,repeat:PPR 7,repeat:PPR 8,repeat:PPR 9,sequence conflict,sequence variant,transit peptide:Mitochondrion,
LRRC2	leucine rich repeat containing 2(LRRC2)	Homo sapiens			Function unknown,				IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00369:LRR_TYP,	Complete proteome,Leucine-rich repeat,Polymorphism,Reference proteome,Repeat,	chain:Leucine-rich repeat-containing protein 2,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,
LRRC38	leucine rich repeat containing 38(LRRC38)	Homo sapiens				GO:0006811~ion transport,GO:0007409~axonogenesis,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR000372:Leucine-rich repeat-containing N-terminal,IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00013:LRRNT,SM00082:LRRCT,SM00369:LRR_TYP,	Cell membrane,Complete proteome,Disulfide bond,Ion channel,Ion transport,Leucine-rich repeat,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,Transport,	chain:Leucine-rich repeat-containing protein 38,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,sequence variant,signal peptide,transmembrane region,
LRRC39	leucine rich repeat containing 39(LRRC39)	Homo sapiens							IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,IPR025875:Leucine rich repeat 4,				SM00369:LRR_TYP,	Alternative splicing,Coiled coil,Complete proteome,Leucine-rich repeat,Polymorphism,Reference proteome,Repeat,	chain:Leucine-rich repeat-containing protein 39,compositionally biased region:Poly-Glu,repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence variant,splice variant,
LRRC3B	leucine rich repeat containing 3B(LRRC3B)	Homo sapiens			Function unknown,		GO:0016021~integral component of membrane,		IPR000372:Leucine-rich repeat-containing N-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00013:LRRNT,SM00369:LRR_TYP,	Complete proteome,Glycoprotein,Leucine-rich repeat,Membrane,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Leucine-rich repeat-containing protein 3B,glycosylation site:N-linked (GlcNAc...),repeat:LRR 1,repeat:LRR 2,repeat:LRR 3,signal peptide,transmembrane region,
